Image,Payload,Kurtosis,Skewness,StdDev,Range,Median,GeomMedian,HjorthMobility,HjorthComplexity
1.pgm,0.1,-1.615947005603778,0.4143848548551979,70.37478646630082,235,124.0,0.0,1.622646241110636,0.6064829076391292
1.pgm,0.3,-1.615924934004822,0.4141351390293125,70.33297967621164,235,124.0,0.0,1.6516569538779928,0.6007511653030887
1.pgm,0.5,-1.6159415350842157,0.4138912198157202,70.29101066173672,235,124.0,0.0,1.6695347485167162,0.5942306479521194
2.pgm,0.1,-1.5713169632042423,0.0412857914593083,34.02151652484169,121,58.0,42.03,3.60810148514944,0.2749098760935302
2.pgm,0.3,-1.571089604313253,0.0412749037497074,34.0232720516175,121,58.0,42.03,3.617083121971928,0.2745103158604535
2.pgm,0.5,-1.570827532020544,0.0413273007125505,34.02492066055102,121,58.0,42.03,3.623767734165845,0.2743890676399448
3.pgm,0.1,0.3336044552522859,1.3054302417786765,55.692096860020406,229,111.0,0.0,2.1497407243675046,0.4533983805237919
3.pgm,0.3,0.3325284293692268,1.3049987108183696,55.678626421653,229,111.0,0.0,2.1521409150635,0.4530945338651239
3.pgm,0.5,0.3315024906458159,1.3045785950924746,55.66335708960903,228,111.0,0.0,2.1542480306208467,0.4525742607313818
4.pgm,0.1,-0.5463627591629932,-0.2944748074617405,63.046298557490886,251,149.0,0.0,1.9281262884769843,0.5116687346934449
4.pgm,0.3,-0.5462986764619773,-0.2947302822220292,63.04250862266293,251,149.0,0.0,1.9292780506326053,0.5116728131836562
4.pgm,0.5,-0.5463360348985842,-0.2949470977299867,63.03850882675904,251,149.0,0.0,1.9306257054781784,0.5113320906092176
5.pgm,0.1,-1.429943887508053,0.3535361611880787,67.74448689301562,253,55.0,50.2,1.7697703301777203,0.5661751411749258
5.pgm,0.3,-1.429870877575108,0.3534978255828211,67.74489824659791,253,55.0,50.2,1.774556511868373,0.5638178994977019
5.pgm,0.5,-1.4298564096501236,0.3535104690766084,67.7462371109718,252,55.0,50.2,1.7779029151810062,0.5622668691656791
6.pgm,0.1,0.1302690734078599,1.0237278193144492,52.74676253612768,255,50.0,0.0,2.2639647563212777,0.4324629903548966
6.pgm,0.3,0.1301740547868948,1.023659474915267,52.748214780922055,255,50.0,0.0,2.2649183349053548,0.4321050921477433
6.pgm,0.5,0.1305127340307907,1.0237005940420751,52.74943252892855,255,50.0,0.0,2.2653598800409545,0.4319747046877734
7.pgm,0.1,-1.455570634338757,-0.0255147948730003,81.33695843718291,255,133.0,0.0,1.4852208804886555,0.6688351520413173
7.pgm,0.3,-1.4555372684466603,-0.0255681095581733,81.33742454458269,255,133.0,0.0,1.487093980232464,0.667464238110462
7.pgm,0.5,-1.4554878283009247,-0.0255744418935119,81.33652630032694,255,133.0,0.0,1.488078387177194,0.6667408504542266
8.pgm,0.1,-0.0360722328793694,0.2709430717506538,46.76920867549208,255,103.0,0.0,2.588688497982838,0.3853719533819507
8.pgm,0.3,-0.03631450396951,0.2708783267855653,46.7701741380342,255,103.0,0.0,2.5891482557641243,0.3852677903577308
8.pgm,0.5,-0.0360412028561913,0.2708469703796665,46.77121743417764,255,103.0,0.0,2.58957096442229,0.3851894215091491
9.pgm,0.1,-0.1781364069628042,0.1192841931542542,37.64543652951068,241,134.0,0.0,3.2092058528151712,0.3115377655322666
9.pgm,0.3,-0.1781981454519039,0.1191801554092978,37.64763356354038,241,134.0,0.0,3.210247691869477,0.3114244938898939
9.pgm,0.5,-0.1784215667347615,0.1189833262235467,37.64742795456228,241,134.0,0.0,3.2109909793792206,0.311347392135226
10.pgm,0.1,0.2977258481294149,1.152852970278685,66.35069627200622,255,62.0,0.0,1.7963978428683731,0.5445080537944064
10.pgm,0.3,0.2977541853498304,1.1528223429782936,66.34996833916475,255,62.0,0.0,1.7966881304898894,0.5441686166254267
10.pgm,0.5,0.2977024343979075,1.1527906584660392,66.35151187455493,255,62.0,0.0,1.7967473939462446,0.5439766712808423
11.pgm,0.1,-0.6156609787035108,0.7378126019651858,68.8792955864782,254,78.0,0.0,1.724865076885313,0.5661878520059906
11.pgm,0.3,-0.6158551392756504,0.7377171738092378,68.87880554087579,254,78.0,0.0,1.7262321259946265,0.5653119856324654
11.pgm,0.5,-0.615981686155338,0.7376363542993793,68.87765323316388,254,78.0,0.0,1.7268291266404854,0.5649442654937004
12.pgm,0.1,-0.9846647245028396,-0.3084370562644951,36.721056137253456,182,90.0,77.9,3.332325636396832,0.2974129302808733
12.pgm,0.3,-0.9845791398637124,-0.3084699852505186,36.72196491570871,182,90.0,77.9,3.333724218032067,0.2971208458126392
12.pgm,0.5,-0.9845630697033044,-0.3083656994005617,36.72400625077284,183,90.0,77.9,3.333605602840481,0.2970962368382189
13.pgm,0.1,2.034487637783908,1.065022149510949,50.14127758209165,255,73.0,0.0,2.330948995327509,0.4298858952569745
13.pgm,0.3,2.031998447152512,1.0644599218479525,50.1384785400387,255,73.0,0.0,2.337498831499831,0.4277260644514387
13.pgm,0.5,2.029718569057506,1.0639227159805622,50.13490364535936,255,73.0,0.0,2.341929089690198,0.4262292264352543
14.pgm,0.1,-1.437329384016712,0.4828450129832458,72.43819908812517,255,59.0,0.0,1.6844713784032213,0.5868839807235323
14.pgm,0.3,-1.4372914216991657,0.4828255640093745,72.43893875388086,255,59.0,0.0,1.6862464987685464,0.5867878122660029
14.pgm,0.5,-1.437241578241716,0.4828290841833992,72.43934006586728,255,59.0,0.0,1.6871380804352534,0.5869716509635362
15.pgm,0.1,1.6722544313462624,1.3765815654934106,33.83887761831639,252,31.0,32.6,3.5722590283637703,0.2797933915465495
15.pgm,0.3,1.6725769505331858,1.3765331316297025,33.84081030542598,252,31.0,32.6,3.587239919140095,0.2799058028586389
15.pgm,0.5,1.6714986746877578,1.3762242197305228,33.8423102986731,252,31.0,32.6,3.598810835817933,0.2799228944139642
16.pgm,0.1,-0.8620781784519242,-0.6457992321338487,32.400762834074506,222,148.0,131.0,3.774986936912694,0.2652002366399907
16.pgm,0.3,-0.8619775648676211,-0.6456482960211082,32.401433037194536,222,148.0,131.0,3.780660939463613,0.2645829581689251
16.pgm,0.5,-0.8616478035907114,-0.6456102823069093,32.40408821956973,222,148.0,131.0,3.7844900942627135,0.2641444075188492
17.pgm,0.1,-1.620421028322893,0.0973030338549794,92.68836887520672,255,111.0,0.0,1.2659137614990643,0.787344430629511
17.pgm,0.3,-1.6205278227585238,0.0970510987822503,92.6677027192241,255,111.0,0.0,1.2775725380034162,0.7814440449867052
17.pgm,0.5,-1.620640680443516,0.096802548063391,92.64768248959273,255,111.0,0.0,1.285694272637151,0.7761425143521662
18.pgm,0.1,-1.2224993509164537,0.0337096237008987,65.71975733152162,252,113.0,0.0,1.830490050607176,0.5480030574085468
18.pgm,0.3,-1.2224806284565073,0.0336693457150881,65.72172993790895,252,113.0,0.0,1.835098295889339,0.5466481246939695
18.pgm,0.5,-1.222493513118619,0.0336355738324537,65.72128383568871,252,113.0,0.0,1.8383206585760052,0.5456310287540758
19.pgm,0.1,-0.1520382425321056,0.8635294089450276,66.15590634490299,255,79.0,0.0,1.8079078656908,0.5489921159074236
19.pgm,0.3,-0.1520035822005461,0.8635096132037823,66.15673287079387,255,79.0,0.0,1.810978913882167,0.5473910146428904
19.pgm,0.5,-0.152151328264289,0.8633999793342134,66.15698203319432,255,79.0,0.0,1.8133252469852832,0.5462748399401816
20.pgm,0.1,3.257177207001712,1.1509790778765778,30.53931486342197,243,67.0,64.8,4.029828480032132,0.2460954339199842
20.pgm,0.3,3.257729938294461,1.1509167101143123,30.540520327127187,243,67.0,64.8,4.034548540815952,0.2469244855092349
20.pgm,0.5,3.2559277029699425,1.1507570882021865,30.54143744829761,243,67.0,64.8,4.036720369123735,0.2476664103170541
21.pgm,0.1,0.7487182074291923,-0.2017043027845317,29.73301831914038,221,109.0,104.8,3.970822453363781,0.2509315575998996
21.pgm,0.3,0.7490567547434037,-0.2017712964865541,29.735975277242627,220,109.0,104.8,3.9929705842359255,0.2493575129087044
21.pgm,0.5,0.7484384284261463,-0.2016065067960133,29.73816847842363,219,109.0,104.8,4.004731316870435,0.2486325241812869
22.pgm,0.1,1.0908565232001963,1.33508764765551,44.2853174189391,255,25.0,0.0,2.7002714521115823,0.3727790463056893
22.pgm,0.3,1.0907266869158976,1.3350510159643705,44.2855381932722,255,25.0,0.0,2.7102758156561184,0.3718345939305008
22.pgm,0.5,1.0909218736495436,1.334992744289245,44.28599250740207,255,25.0,0.0,2.7170321650067635,0.3711230993037024
23.pgm,0.1,-1.647021105011303,0.0806868558196839,65.08959917827426,249,85.0,57.44,1.7387210662516528,0.5943538729056921
23.pgm,0.3,-1.6469412511432897,0.0807114975296393,65.09046230276287,249,85.0,57.44,1.7584445067471477,0.5831537640318315
23.pgm,0.5,-1.6468788639623797,0.0806899775571626,65.09201075672449,249,85.0,57.44,1.7723353292814268,0.5753705890776838
24.pgm,0.1,0.0217305836592327,0.2175330709156965,41.15755821389799,255,98.0,0.0,2.9176521608993307,0.3456153774511286
24.pgm,0.3,0.0216616065077097,0.2174493156141355,41.15813955578106,255,98.0,0.0,2.9332637773343446,0.342776020454868
24.pgm,0.5,0.0216422196385228,0.2173223349356775,41.16154781570504,255,98.0,0.0,2.943369282909972,0.3409743674401995
25.pgm,0.1,-1.4137414545263234,-0.0892801865887908,77.14650944272908,252,133.0,0.0,1.5461823432948487,0.6415834449610801
25.pgm,0.3,-1.4138679939602483,-0.089406267038423,77.14528399781958,252,133.0,0.0,1.5521154594870972,0.6389599800713215
25.pgm,0.5,-1.4140597432936723,-0.0895216730079449,77.14274156449595,252,133.0,0.0,1.555551638493768,0.6376700185264446
26.pgm,0.1,1.5806004522100068,0.5547499236317676,37.11695822189278,251,110.0,0.0,3.288089498436932,0.3067176473934822
26.pgm,0.3,1.578950310495971,0.5543649930465694,37.11657300085855,251,110.0,0.0,3.287948555575828,0.3066361353685658
26.pgm,0.5,1.5771547864273927,0.553849449378423,37.11564561870868,251,110.0,0.0,3.2878020711255416,0.3065328782466029
27.pgm,0.1,0.1818435838252434,0.77653222378385,42.66501319049352,253,55.0,0.0,2.784080059777008,0.3475703297162698
27.pgm,0.3,0.1814453005938396,0.7763932326128147,42.667154754745766,253,55.0,0.0,2.783744532820455,0.347583804975747
